id_transaction,id_compte,id_categorie,montant,type_transaction,description,date_transaction
25,1,16,10000.0,ENTREE,ANANAS,2026-01-13
26,1,16,111111.0,ENTREE,aaaaaaaaaaaa,2026-01-13
27,1,16,111111.0,ENTREE,aaaaaaaaaaaa,2026-01-13
18,1,5,200.0,ENTREE,test_course,2026-01-12
19,1,12,30000.0,SORTIE,perte de fonds,2026-01-12
20,1,12,100000.0,ENTREE,test revenu,2026-01-12
21,1,9,1000.0,SORTIE,test cinema,2026-01-12
22,1,9,40000.0,SORTIE,test ajout,2026-01-12
23,1,4,10000.0,SORTIE,test fast,2026-01-12
24,1,17,1000.0,ENTREE,Cat,2026-01-11
15,1,6,9000.0,SORTIE,telephone,2026-01-10
16,1,16,18000.0,SORTIE,test ,2026-01-10
17,1,5,29000.0,SORTIE,katana,2026-01-10
1,1,16,2000.0,SORTIE,,2025-12-29
2,1,8,10000.0,ENTREE,test income revenu,2025-12-29
3,1,17,200.0,SORTIE,test transaction,2025-12-29
7,1,18,10000.0,SORTIE,test_ajout transaction,2025-12-29
8,1,18,1000.0,SORTIE,test notification,2025-12-29
9,1,18,10000.0,SORTIE,test depense,2025-12-29
10,1,8,20000.0,ENTREE,test cadeau,2025-12-29
12,1,18,5000.0,SORTIE,test transac,2025-12-29
13,1,16,23000.0,SORTIE,test ananas,2025-12-29
14,1,18,1000.0,SORTIE,test 1,2025-12-29
4,1,17,2000.0,SORTIE,test transac 2,2025-12-11
5,1,18,1000.0,SORTIE,test_transac,2025-12-11
6,1,18,10.0,SORTIE,test_transac2,2025-12-11
11,1,17,49000.0,SORTIE,test_budget,2025-11-12
28,1,17,50000.0,SORTIE,transaction,2025-01-14
